PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
12xRewind                   7        0    7.00   Pantheon
Asianeyescantsee            7        0    7.00   Vayne
ExcelsiorSenpai             7        0    7.00   Quinn
FODOt                       7        0    7.00   Aatrox
FuZhouWang                  7        0    7.00   JarvanIV
Gefenbauer                  7        0    7.00   Hecarim
JofKicho                    7        0    7.00   Graves
MrJustinPie                 7        0    7.00   Fiora
S7EVENISGOD                 7        0    7.00   Nidalee
Sokanee                     7        0    7.00   Jinx
SuperiorSaturday            7        0    7.00   Ezreal
Unuz                        7        0    7.00   Zac
WastingmyH8onu              7        0    7.00   Trundle
Zmakami                     7        0    7.00   Rumble
lKillerl                    7        0    7.00   MasterYi
tsaaaam                     7        0    7.00   Fiora
xBattleDonkeyx              7        0    7.00   Irelia
1921                        7        1    7.00   Riven
ADJungleSoraka              7        1    7.00   Graves
ApeX00                      7        1    7.00   Morgana
BellaCross                  7        1    7.00   Garen
BobaQ                       7        1    7.00   Jinx
Bobaku                      7        1    7.00   Malphite
BuddhasRampage              7        1    7.00   Draven
CMMMic                      7        1    7.00   JarvanIV
DancefloorOrgy              7        1    7.00   Ahri
Demilov                     7        1    7.00   Vi
EndlessDeath                7        1    7.00   Zac
ExiaNinja                   7        1    7.00   Nasus
GiboonGaeSsakGae            7        1    7.00   Teemo
HEADSHOTQ                   7        1    7.00   XinZhao
Hooch12                     7        1    7.00   Zac
Killnooby                   7        1    7.00   Udyr
Krabsoukkary                7        1    7.00   Nasus
MangeMarde                  7        1    7.00   Shaco
P00tz                       7        1    7.00   Jinx
PenumbraProdigy             7        1    7.00   Lux
Polyprotic                  7        1    7.00   Yorick
Severtheforsaken            7        1    7.00   Ryze
Sundragon87                 7        1    7.00   Nasus
Thakugan                    7        1    7.00   Nami
Utesmutenheimer             7        1    7.00   Gragas
Veritasiom                  7        1    7.00   Orianna
WickedShot                  7        1    7.00   Zac
WizGamgee                   7        1    7.00   JarvanIV
YelloLemon                  7        1    7.00   Zac
august2023                  7        1    7.00   Rumble
ljayer                      7        1    7.00   Fiora
theASCHE360                 7        1    7.00   JarvanIV
STAYBACKCORAL              20        3    6.67   LeBlanc
TheGrudge93                20        3    6.67   Quinn
ProphetWillSon             26        4    6.50   MasterYi
Adgineer                   13        2    6.50   Sivir
ExcelsiusDark              13        2    6.50   Sivir
KungPowSlicken             13        2    6.50   Volibear
TheBloodKiller             13        2    6.50   Nasus
WhisperofDevil             13        2    6.50   Annie
cafeolait                  13        2    6.50   Nidalee
chmGOD                     13        2    6.50   Zed
ckpark3                    13        2    6.50   Cho'Gath
haishibeijujie             13        2    6.50   Fiora
GrayFlame                  19        3    6.33   Rumble
TEDTEDTED                  19        3    6.33   Corki
LuisHyun                   25        4    6.25   Xerath
DweeTran                   24        4    6.00   Fiora
Hokeypokey                 18        3    6.00   Corki
KingYeh                    18        3    6.00   Pantheon
L4vi                       18        3    6.00   Caitlyn
Onyxiondraco               18        3    6.00   JarvanIV
Rolfeus                    18        3    6.00   Garen
BestMiddleStyxNA           12        2    6.00   Fiddlesticks
Br4veSirRobin              12        2    6.00   Viktor
ChinatownStreet            12        2    6.00   Riven
ClashingLiam               12        2    6.00   Jayce
DezaniDoomfire             12        2    6.00   Swain
FullNoodle                 12        2    6.00   Amumu
Kovel                      12        2    6.00   Garen
Kyphran                    12        2    6.00   Cho'Gath
LionMoons                  12        2    6.00   Urgot
LoveMeluoxx                12        2    6.00   Fizz
MidTeemoplz                12        2    6.00   LeBlanc
PRCBAO                     12        2    6.00   Maokai
Royaloverkill              12        2    6.00   Pantheon
Squanderys                 12        2    6.00   Katarina
StarkWinter                12        2    6.00   Lux
TTCJuraquille              12        2    6.00   Vayne
TheReds9                   12        2    6.00   Varus
kickcade                   12        2    6.00   Cho'Gath
weapony                    12        2    6.00   Ziggs
wingerdinger               12        2    6.00   Lucian
xxxxxPANDAxxxxx            12        2    6.00   Corki
yennn                      12        2    6.00   LeBlanc
AdellaideSkyhart            6        0    6.00   Vayne
AnTrollingCho               6        0    6.00   Cho'Gath
Antiochensis                6        0    6.00   Gnar
FirstbloodGiverr            6        0    6.00   Zed
Gazpatrd                    6        0    6.00   Rek'Sai
IloveWudan                  6        0    6.00   LeBlanc
Imajjii                     6        0    6.00   Graves
MissBear0                   6        0    6.00   Graves
MistaLeeMan                 6        0    6.00   Sivir
Prosilent                   6        0    6.00   LeeSin
SoundArc                    6        0    6.00   Volibear
TSMTeed                     6        0    6.00   LeBlanc
TopezLeng                   6        0    6.00   Morgana
VileNotes                   6        0    6.00   Diana
XFlameKnightX               6        0    6.00   Swain
andyz712                    6        0    6.00   Wukong
disturbedphoenix            6        0    6.00   Kennen
jjackson5150                6        0    6.00   Volibear
juuude19                    6        0    6.00   Fizz
AlexTheLiz                  6        1    6.00   Galio
Arrowz                      6        1    6.00   Gragas
Bastil                      6        1    6.00   Jinx
BestFriendDavis             6        1    6.00   Rumble
BlackLine                   6        1    6.00   Tryndamere
CheshireYordle              6        1    6.00   Shen
Choiganjer                  6        1    6.00   Malphite
CircuitO                    6        1    6.00   Vi
DOTASAUR                    6        1    6.00   Vladimir
Darkzellos                  6        1    6.00   Zac
Elver                       6        1    6.00   Zed
Enjoixdaxpanda              6        1    6.00   Quinn
Fleas                       6        1    6.00   Maokai
